.Box: 24.9781454025390417,24.9781454025390417,24.9781454025390417
0.114073 12.069073 7.094073 @ 0.500000 C[0,0,1,1]
0.045073 4.691073 10.384073 @ 0.500000 C[0,0,1,1]
6.318073 12.385073 9.805073 @ 0.500000 C[0,0,1,1]
0.260073 7.343073 9.090073 @ 0.500000 C[0,0,1,1]
4.487073 3.583073 12.447073 @ 0.500000 C[0,0,1,1]
0.179073 12.057073 0.796073 @ 0.500000 C[0,0,1,1]
3.901073 12.295073 9.763073 @ 0.500000 C[0,0,1,1]
0.137073 6.822073 4.508073 @ 0.500000 C[0,0,1,1]
3.238073 12.332073 7.513073 @ 0.500000 C[0,0,1,1]
0.098073 4.085073 5.509073 @ 0.500000 C[0,0,1,1]
0.036073 6.180073 8.792073 @ 0.500000 C[0,0,1,1]
0.072073 8.289073 6.874073 @ 0.500000 C[0,0,1,1]
4.784073 0.194073 9.926073 @ 0.500000 C[0,0,1,1]
1.682073 5.554073 0.300073 @ 0.500000 C[0,0,1,1]
0.679073 6.667073 10.597073 @ 0.500000 C[0,0,1,1]
1.199073 6.637073 0.411073 @ 0.500000 C[0,0,1,1]
2.470073 7.232073 0.727073 @ 0.500000 C[0,0,1,1]
1.170073 11.927073 7.175073 @ 0.500000 C[0,0,1,1]
8.116073 12.285073 8.954073 @ 0.500000 C[0,0,1,1]
12.297073 12.157073 10.427073 @ 0.500000 C[0,0,1,1]
6.783073 6.942073 12.193073 @ 0.500000 C[0,0,1,1]
1.294073 9.461073 0.662073 @ 0.500000 C[0,0,1,1]
2.715073 9.885073 0.786073 @ 0.500000 C[0,0,1,1]
3.886073 9.679073 0.548073 @ 0.500000 C[0,0,1,1]
0.281073 10.319073 0.118073 @ 0.500000 C[0,0,1,1]
2.760073 10.596073 0.228073 @ 0.500000 C[0,0,1,1]
4.323073 11.852073 10.487073 @ 0.500000 C[0,0,1,1]
4.196073 0.069073 5.031073 @ 0.500000 C[0,0,1,1]
5.843073 10.867073 0.310073 @ 0.500000 C[0,0,1,1]
7.850073 11.073073 0.438073 @ 0.500000 C[0,0,1,1]
0.820073 11.217073 0.155073 @ 0.500000 C[0,0,1,1]
2.805073 11.908073 4.216073 @ 0.500000 C[0,0,1,1]
0.199073 8.016073 1.377073 @ 0.500000 C[0,0,1,1]
2.452073 11.854073 0.182073 @ 0.500000 C[0,0,1,1]
4.116073 11.885073 0.155073 @ 0.500000 C[0,0,1,1]
0.089073 4.802073 8.871073 @ 0.500000 C[0,0,1,1]
0.195073 6.236073 0.211073 @ 0.500000 C[0,0,1,1]
0.052073 11.204073 1.364073 @ 0.500000 C[0,0,1,1]
12.147073 9.708073 8.510073 @ 0.500000 C[0,0,1,1]
0.065073 0.476073 9.522073 @ 0.500000 C[0,0,1,1]
0.809073 5.209073 0.125073 @ 0.500000 C[0,0,1,1]
0.861073 6.006073 1.250073 @ 0.500000 C[0,0,1,1]
3.337073 7.248073 1.164073 @ 0.500000 C[0,0,1,1]
1.890073 6.572073 1.121073 @ 0.500000 C[0,0,1,1]
1.378073 7.731073 1.349073 @ 0.500000 C[0,0,1,1]
2.368073 8.809073 1.052073 @ 0.500000 C[0,0,1,1]
1.090073 9.612073 1.562073 @ 0.500000 C[0,0,1,1]
4.202073 8.696073 1.360073 @ 0.500000 C[0,0,1,1]
7.859073 8.675073 1.463073 @ 0.500000 C[0,0,1,1]
2.182073 9.946073 1.592073 @ 0.500000 C[0,0,1,1]
4.425073 10.259073 1.080073 @ 0.500000 C[0,0,1,1]
7.754073 9.596073 0.969073 @ 0.500000 C[0,0,1,1]
1.050073 10.399073 0.941073 @ 0.500000 C[0,0,1,1]
5.527073 10.625073 1.186073 @ 0.500000 C[0,0,1,1]
6.768073 10.319073 0.759073 @ 0.500000 C[0,0,1,1]
8.328073 10.279073 0.696073 @ 0.500000 C[0,0,1,1]
2.148073 11.409073 0.993073 @ 0.500000 C[0,0,1,1]
3.293073 11.543073 1.416073 @ 0.500000 C[0,0,1,1]
3.460073 11.294073 0.540073 @ 0.500000 C[0,0,1,1]
6.274073 11.196073 1.252073 @ 0.500000 C[0,0,1,1]
7.259073 11.166073 1.357073 @ 0.500000 C[0,0,1,1]
8.400073 11.501073 1.133073 @ 0.500000 C[0,0,1,1]
1.151073 11.606073 0.893073 @ 0.500000 C[0,0,1,1]
0.278073 6.281073 12.195073 @ 0.500000 C[0,0,1,1]
